bundesland,Bestellpositionen,Retourenpositionen,Retourenquote
ThÃ¼ringen,16033,7305,0.4556227780203331
Niedersachsen,74592,32073,0.4299790862290862
Berlin,25883,11087,0.4283506548699919
Rheinland-Pfalz,41713,17819,0.42718097475607125
Baden-WÃ¼rttemberg,129364,55053,0.42556661822454467
Sachsen,25560,10823,0.42343505477308296
Bayern,160356,67843,0.4230774027788171
Mecklenburg-Vorpommern,11124,4692,0.42179072276159657
Saarland,5908,2452,0.4150304671631686
Hessen,75861,31349,0.41324264114630704
Brandenburg,11574,4743,0.4097978227060653
Sachsen-Anhalt,13771,5625,0.4084670684772348
Nordrhein-Westfalen,170045,68956,0.40551618689170515
Schleswig-Holstein,28768,11641,0.40465100111234703
Bremen,4904,1962,0.40008156606851547
Hamburg,21743,8371,0.38499747045025984
,1326,0,0.0
